NaN,NaN,67.436,NaN,71.848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.107,74.104,72.482,NaN,NaN,71.842,NaN,NaN,NaN,66.004,59.553
NaN,NaN,68.368,NaN,72.252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.635,75.631,73.225,NaN,NaN,72.248,NaN,NaN,NaN,66.946,60.61
NaN,NaN,69.01,NaN,74.393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.751,78.028,74.328,NaN,NaN,75.623,NaN,NaN,NaN,67.495,61.405
NaN,NaN,69.552,NaN,74.529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.229,NaN,75.028,NaN,NaN,75.995,NaN,NaN,NaN,68.627,62.56
NaN,NaN,69.97,NaN,75.629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.911,NaN,75.636,NaN,NaN,NaN,NaN,NaN,NaN,70.632,63.292
NaN,NaN,71.652,NaN,75.925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.751,NaN,NaN,NaN,NaN,NaN,NaN,71.841,63.525
NaN,NaN,71.788,NaN,77.233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.195,NaN,NaN,NaN,NaN,NaN,NaN,72.169,63.641
NaN,NaN,73.512,NaN,78.408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.161,67.054
NaN,NaN,74.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.744,68.645
NaN,NaN,74.447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,77.53,69.003
NaN,NaN,75.641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69.985
NaN,NaN,75.914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71.851
NaN,NaN,77.212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73.545
NaN,NaN,77.693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.234
NaN,NaN,78.388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.729
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.199
